model,val_rmse,test_rmse,test_mae,test_mape,test_r2
linear_regression,0.46425443801799576,4.800263705242143,3.6544652836259557,2.7304999826071747,0.9952426078406083
ensemble_stacking,,4.874101243392477,3.6456353612059984,2.598047477835516,0.9950951260388684
sarimax,4.175800376300904,78.41426356928751,65.80309875138632,48.04006983546043,-0.26948886587123067
lightgbm,3.8819699122718734,123.45746901934767,101.95266518699756,71.22023134903368,-2.146831570989236
xgboost,3.9360139205627123,123.55833106090775,102.08825988651324,71.39071179089844,-2.1519754559553053
random_forest,5.276931306394139,124.89504137167864,103.70204408697903,73.32274698275695,-2.2205433725943085
arima,10.282633446374943,130.12428516479153,109.94911276378015,80.91374489123669,-2.4958716033904054
ar,12.122921311266305,134.28884380884455,113.70320077091301,83.94924780410527,-2.7232194042058993
ma,23.009961774281358,141.66968320050628,123.38470621488152,97.10568080786442,-3.143741028490375
