Model,Train RMSE,Test RMSE,Train MAPE %,Test MAPE %,Test R²,Val RMSE,Time (s)
XGBoost,0.019299382519286777,0.03880549284861608,1.620407861498897,3.356525977073251,0.9843044001516326,0.054455344513081684,120.7874219417572
LightGBM,0.013068670198787305,0.04217942911724694,1.0982408981659006,3.5852090144315243,0.9814564488830656,0.056645861435813155,120.47758793830872
Random Forest,0.028906346143076567,0.06656426177131858,1.7823913234998916,3.86622798848518,0.9538178922078158,0.09953887966474584,121.8980860710144
Extra Trees,0.0047239410587817205,0.06794243073847009,0.4607901885688219,5.221976299516045,0.9518857554133369,0.10228552554250876,120.21535086631775
