elapsed_s,hp_max_depth,hp_max_features,hp_n_estimators,trial,val_MAE,val_MAPE,val_R2,val_RMSE
1.8199892044067383,None,sqrt,400,0,4.083990319214435,14.564373537930713,-0.14748926655270944,5.252105257032303
5.144520044326782,None,0.5,800,1,2.880990038675525,10.118317610478456,0.34135272934454786,3.979106411688125
2.534761905670166,20,sqrt,800,2,4.1185418241076,14.686995340567458,-0.16638360937425567,5.295168801285699
1.2932665348052979,None,sqrt,400,3,4.083990319214435,14.564373537930713,-0.14748926655270944,5.252105257032303
2.551283597946167,20,sqrt,800,4,4.1185418241076,14.686995340567458,-0.16638360937425567,5.295168801285699
0.6218380928039551,20,sqrt,200,5,4.162324418286952,14.876144204786424,-0.1801375014311788,5.326297384252
2.21610426902771,20,0.5,400,6,2.844557668845915,9.984650556528859,0.3538202350873051,3.941266321102181
5.608217477798462,10,auto,800,7,2.2153803343856167,7.681307384148944,0.5596270214953798,3.253639534792984
1.4806034564971924,10,0.5,400,8,2.884841501994432,10.13393206873103,0.34053188367747844,3.9815851399789675
0.6244029998779297,20,sqrt,200,9,4.162324418286952,14.876144204786424,-0.1801375014311788,5.326297384252
6.030212640762329,10,auto,800,10,2.2153803343856167,7.681307384148944,0.5596270214953798,3.253639534792984
5.656264543533325,10,auto,800,11,2.2153803343856167,7.681307384148944,0.5596270214953798,3.253639534792984
5.925591230392456,10,auto,800,12,2.2153803343856167,7.681307384148944,0.5596270214953798,3.253639534792984
5.670899868011475,10,auto,800,13,2.2153803343856167,7.681307384148944,0.5596270214953798,3.253639534792984
5.935839414596558,10,auto,800,14,2.2153803343856167,7.681307384148944,0.5596270214953798,3.253639534792984
6.012186765670776,10,auto,800,15,2.2153803343856167,7.681307384148944,0.5596270214953798,3.253639534792984
1.4698858261108398,10,auto,200,16,2.2111437130143607,7.669189090600145,0.5612657791344056,3.247580016417078
1.9643959999084473,10,auto,200,17,2.2111437130143607,7.669189090600145,0.5612657791344056,3.247580016417078
1.5457828044891357,10,auto,200,18,2.2111437130143603,7.669189090600143,0.5612657791344056,3.247580016417078
1.476576805114746,10,auto,200,19,2.2111437130143607,7.669189090600145,0.5612657791344056,3.247580016417078
